Loading and preprocessing data...
Training hLDA model...
Iteration 128/300, Log-likelihood per word: -7.3255
Iteration 129/300, Log-likelihood per word: -7.3243
Iteration 130/300, Log-likelihood per word: -7.3238
Iteration 131/300, Log-likelihood per word: -7.3234
Iteration 132/300, Log-likelihood per word: -7.3229
Iteration 133/300, Log-likelihood per word: -7.3224
Iteration 134/300, Log-likelihood per word: -7.3222
Iteration 135/300, Log-likelihood per word: -7.3215
Iteration 136/300, Log-likelihood per word: -7.3211
Iteration 137/300, Log-likelihood per word: -7.3205
Iteration 138/300, Log-likelihood per word: -7.3203
Iteration 139/300, Log-likelihood per word: -7.3193
Iteration 140/300, Log-likelihood per word: -7.3184
Iteration 141/300, Log-likelihood per word: -7.3173
Iteration 142/300, Log-likelihood per word: -7.3161
Iteration 143/300, Log-likelihood per word: -7.3147
Iteration 144/300, Log-likelihood per word: -7.3138
Iteration 145/300, Log-likelihood per word: -7.3131
Iteration 146/300, Log-likelihood per word: -7.3123
Iteration 147/300, Log-likelihood per word: -7.3116
Iteration 148/300, Log-likelihood per word: -7.3109
Iteration 149/300, Log-likelihood per word: -7.3098
Iteration 150/300, Log-likelihood per word: -7.3090
Iteration 151/300, Log-likelihood per word: -7.3078
Iteration 152/300, Log-likelihood per word: -7.3069
Iteration 153/300, Log-likelihood per word: -7.3063
Iteration 154/300, Log-likelihood per word: -7.3055
Iteration 155/300, Log-likelihood per word: -7.3047
Iteration 156/300, Log-likelihood per word: -7.3040
Iteration 157/300, Log-likelihood per word: -7.3036
Iteration 158/300, Log-likelihood per word: -7.3030
Iteration 159/300, Log-likelihood per word: -7.3025
Iteration 160/300, Log-likelihood per word: -7.3022
Iteration 161/300, Log-likelihood per word: -7.3019
Iteration 162/300, Log-likelihood per word: -7.3010
Iteration 163/300, Log-likelihood per word: -7.3005
Iteration 164/300, Log-likelihood per word: -7.2998
Iteration 165/300, Log-likelihood per word: -7.2996
Iteration 166/300, Log-likelihood per word: -7.2991
Iteration 167/300, Log-likelihood per word: -7.2986
Iteration 168/300, Log-likelihood per word: -7.2978
Iteration 169/300, Log-likelihood per word: -7.2972
Iteration 170/300, Log-likelihood per word: -7.2962
Iteration 171/300, Log-likelihood per word: -7.2954
Iteration 172/300, Log-likelihood per word: -7.2946
Iteration 173/300, Log-likelihood per word: -7.2941
Iteration 174/300, Log-likelihood per word: -7.2937
Iteration 175/300, Log-likelihood per word: -7.2934
Iteration 176/300, Log-likelihood per word: -7.2929
Iteration 177/300, Log-likelihood per word: -7.2923
Iteration 178/300, Log-likelihood per word: -7.2920
Iteration 179/300, Log-likelihood per word: -7.2916
Iteration 180/300, Log-likelihood per word: -7.2910
Iteration 181/300, Log-likelihood per word: -7.2904
Iteration 182/300, Log-likelihood per word: -7.2901
Iteration 183/300, Log-likelihood per word: -7.2891
Iteration 184/300, Log-likelihood per word: -7.2884
Iteration 185/300, Log-likelihood per word: -7.2879
Iteration 186/300, Log-likelihood per word: -7.2872
Iteration 187/300, Log-likelihood per word: -7.2869
Iteration 188/300, Log-likelihood per word: -7.2862
Iteration 189/300, Log-likelihood per word: -7.2860
Iteration 190/300, Log-likelihood per word: -7.2856
Iteration 191/300, Log-likelihood per word: -7.2853
Iteration 192/300, Log-likelihood per word: -7.2849
Iteration 193/300, Log-likelihood per word: -7.2845
Iteration 194/300, Log-likelihood per word: -7.2841
Iteration 195/300, Log-likelihood per word: -7.2837
Iteration 196/300, Log-likelihood per word: -7.2836
Iteration 197/300, Log-likelihood per word: -7.2832
Iteration 198/300, Log-likelihood per word: -7.2823
Iteration 199/300, Log-likelihood per word: -7.2820
Iteration 200/300, Log-likelihood per word: -7.2817
Iteration 201/300, Log-likelihood per word: -7.2811
Iteration 202/300, Log-likelihood per word: -7.2803
Iteration 203/300, Log-likelihood per word: -7.2798
Iteration 204/300, Log-likelihood per word: -7.2796
Iteration 205/300, Log-likelihood per word: -7.2791
Iteration 206/300, Log-likelihood per word: -7.2788
Iteration 207/300, Log-likelihood per word: -7.2783
Iteration 208/300, Log-likelihood per word: -7.2779
Iteration 209/300, Log-likelihood per word: -7.2776
Iteration 210/300, Log-likelihood per word: -7.2772
Iteration 211/300, Log-likelihood per word: -7.2769
Iteration 212/300, Log-likelihood per word: -7.2767
Iteration 213/300, Log-likelihood per word: -7.2765
Iteration 214/300, Log-likelihood per word: -7.2763
Iteration 215/300, Log-likelihood per word: -7.2761
Iteration 216/300, Log-likelihood per word: -7.2758
Iteration 217/300, Log-likelihood per word: -7.2748
Iteration 218/300, Log-likelihood per word: -7.2741
Iteration 219/300, Log-likelihood per word: -7.2737
Iteration 220/300, Log-likelihood per word: -7.2733
Iteration 221/300, Log-likelihood per word: -7.2729
Iteration 222/300, Log-likelihood per word: -7.2727
Iteration 223/300, Log-likelihood per word: -7.2724
Iteration 224/300, Log-likelihood per word: -7.2719
Iteration 225/300, Log-likelihood per word: -7.2711
Iteration 226/300, Log-likelihood per word: -7.2701
Iteration 227/300, Log-likelihood per word: -7.2695
Iteration 228/300, Log-likelihood per word: -7.2693
Iteration 229/300, Log-likelihood per word: -7.2687
Iteration 230/300, Log-likelihood per word: -7.2684
Iteration 231/300, Log-likelihood per word: -7.2682
Iteration 232/300, Log-likelihood per word: -7.2680
Iteration 233/300, Log-likelihood per word: -7.2676
Iteration 234/300, Log-likelihood per word: -7.2675
Iteration 235/300, Log-likelihood per word: -7.2672
Iteration 236/300, Log-likelihood per word: -7.2667
Iteration 237/300, Log-likelihood per word: -7.2663
Iteration 238/300, Log-likelihood per word: -7.2659
Iteration 239/300, Log-likelihood per word: -7.2657
Iteration 240/300, Log-likelihood per word: -7.2655
Iteration 241/300, Log-likelihood per word: -7.2654
Iteration 242/300, Log-likelihood per word: -7.2654
Iteration 243/300, Log-likelihood per word: -7.2651
Iteration 244/300, Log-likelihood per word: -7.2647
Iteration 245/300, Log-likelihood per word: -7.2638
Iteration 246/300, Log-likelihood per word: -7.2627
Iteration 247/300, Log-likelihood per word: -7.2620
Iteration 248/300, Log-likelihood per word: -7.2619
Iteration 249/300, Log-likelihood per word: -7.2615
Iteration 250/300, Log-likelihood per word: -7.2613
Iteration 251/300, Log-likelihood per word: -7.2610
Iteration 252/300, Log-likelihood per word: -7.2608
Iteration 253/300, Log-likelihood per word: -7.2606
Iteration 254/300, Log-likelihood per word: -7.2603
Iteration 255/300, Log-likelihood per word: -7.2600
Iteration 256/300, Log-likelihood per word: -7.2598
Iteration 257/300, Log-likelihood per word: -7.2598
Iteration 258/300, Log-likelihood per word: -7.2595
Iteration 259/300, Log-likelihood per word: -7.2594
Iteration 260/300, Log-likelihood per word: -7.2591
Iteration 261/300, Log-likelihood per word: -7.2589
Iteration 262/300, Log-likelihood per word: -7.2588
Iteration 263/300, Log-likelihood per word: -7.2586
Iteration 264/300, Log-likelihood per word: -7.2587
Iteration 265/300, Log-likelihood per word: -7.2586
Iteration 266/300, Log-likelihood per word: -7.2583
Iteration 267/300, Log-likelihood per word: -7.2581
Iteration 268/300, Log-likelihood per word: -7.2579
Iteration 269/300, Log-likelihood per word: -7.2579
Iteration 270/300, Log-likelihood per word: -7.2576
Iteration 271/300, Log-likelihood per word: -7.2576
Iteration 272/300, Log-likelihood per word: -7.2573
Iteration 273/300, Log-likelihood per word: -7.2570
Iteration 274/300, Log-likelihood per word: -7.2569
Iteration 275/300, Log-likelihood per word: -7.2571
Iteration 276/300, Log-likelihood per word: -7.2569
Iteration 277/300, Log-likelihood per word: -7.2568
Iteration 278/300, Log-likelihood per word: -7.2565
Iteration 279/300, Log-likelihood per word: -7.2566
Iteration 280/300, Log-likelihood per word: -7.2566
Iteration 281/300, Log-likelihood per word: -7.2566
Iteration 282/300, Log-likelihood per word: -7.2563
Iteration 283/300, Log-likelihood per word: -7.2560
Iteration 284/300, Log-likelihood per word: -7.2562
Iteration 285/300, Log-likelihood per word: -7.2560
Iteration 286/300, Log-likelihood per word: -7.2558
Iteration 287/300, Log-likelihood per word: -7.2557
Iteration 288/300, Log-likelihood per word: -7.2554
Iteration 289/300, Log-likelihood per word: -7.2555
Iteration 290/300, Log-likelihood per word: -7.2555
Iteration 291/300, Log-likelihood per word: -7.2552
Iteration 292/300, Log-likelihood per word: -7.2553
Iteration 293/300, Log-likelihood per word: -7.2551
Iteration 294/300, Log-likelihood per word: -7.2550
Iteration 295/300, Log-likelihood per word: -7.2548
Iteration 296/300, Log-likelihood per word: -7.2544
Iteration 297/300, Log-likelihood per word: -7.2541
Iteration 298/300, Log-likelihood per word: -7.2539
Iteration 299/300, Log-likelihood per word: -7.2538
Iteration 300/300, Log-likelihood per word: -7.2536

Number of topics discovered at each level:
Level 0: 1 topics
Level 1: 81 topics
Level 2: 447 topics
Generating taxonomy from hLDA model...
Taxonomy saved to hlda_taxonomy.csv
Topic words saved to hlda_topic_words.csv
