speech_id,keybert_keywords
CREC-2023-01-09-pt1-PgH76-86,"['virginia', 'yield', 'beyer', 'entrepreneur', 'minute']"
CREC-2023-01-09-pt1-PgH76-87,"['absurd', 'federal', 'deficit']"
CREC-2023-01-09-pt1-PgH76-88,"['time remaining', 'remaining', 'inquire']"
CREC-2023-01-09-pt1-PgH76-90,"['meuser', 'pennsylvania', 'yield', 'gentleman', 'minutes']"
CREC-2023-01-09-pt1-PgH76-91,"['bipartisan', 'audited', 'income']"
CREC-2023-01-09-pt1-PgH76-92,"['ways', 'member', 'yield', 'pennsylvania', 'minute']"
CREC-2023-01-09-pt1-PgH76-93,"['neal', 'reject', 'act', 'irs']"
CREC-2023-01-09-pt1-PgH76-94,"['mr', 'yield', 'wisconsin', 'minute', 'grothman']"
CREC-2023-01-09-pt1-PgH76-95,"['wisconsin', '1099s']"
CREC-2023-01-09-pt1-PgH76-97,"['phones', 'illinois', 'cpa']"
CREC-2023-01-09-pt1-PgH76-98,"['priority', 'legislating', 'wealthiest', 'deficit']"
CREC-2023-01-09-pt1-PgH76-99,"['mr', 'yield', 'texas', 'fallon', 'minute']"
CREC-2023-01-09-pt1-PgH76-100,['defund']
CREC-2023-01-09-pt1-PgH76-101,"['yield', 'billion']"
CREC-2023-01-09-pt1-PgH76-102,"['enforcement', 'oppose', 'trillion', 'investments', 'irs']"
CREC-2023-01-09-pt1-PgH76-103,"['proposals', 'cbo', 'productivity', 'estimates', 'irs']"
CREC-2023-01-09-pt1-PgH76-104,"['yield', 'york', 'minute', 'malliotakis', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-105,"['terrorists', 'patrol', 'billion', 'legislation', 'irs']"
CREC-2023-01-09-pt1-PgH76-106,"['yield', 'chamber', 'inches']"
CREC-2023-01-09-pt1-PgH76-107,"['ultrawealthy', 'audit']"
CREC-2023-01-09-pt1-PgH76-108,"['ms', 'yield', 'cruz', 'minute', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-109,"['hire', 'hyperpartisan']"
CREC-2023-01-09-pt1-PgH76-111,"['yield', 'texas', 'ms', 'minute', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-112,"['vote', 'democrats', 'appropriated', 'income', 'refunds']"
CREC-2023-01-09-pt1-PgH76-113,"['yield', 'york', 'lawler', 'minute']"
CREC-2023-01-09-pt1-PgH76-114,"['earners', 'legislation']"
CREC-2023-01-09-pt1-PgH76-115,"['yield', 'minute', 'sherman', 'cpa']"
CREC-2023-01-09-pt1-PgH76-116,"['employee', 'trillion', 'audit', 'bipartisan', '1099s']"
CREC-2023-01-09-pt1-PgH76-117,"['overpaying', 'irs']"
CREC-2023-01-09-pt1-PgH76-118,"['refund', 'longest', 'biden', 'overpaid']"
CREC-2023-01-09-pt1-PgH76-119,"['citizen', 'flag', 'chevron', 'bezos', 'deficit']"
CREC-2023-01-09-pt1-PgH76-120,"['earners', 'trillion', 'closing']"
CREC-2023-01-09-pt1-PgH76-121,"['benefits', 'compliance', 'bipartisan', 'covid', 'irs']"
CREC-2023-01-09-pt1-PgH76-122,"['inflation', 'income', 'democrats']"
CREC-2023-01-09-pt1-PgH76-123,"['reduction', 'income', 'democrats', 'inflation', 'refunds']"
CREC-2023-01-09-pt1-PgH76-124,"['oppose', 'reeducation', 'wealthiest', 'inflation', 'taxes']"
CREC-2023-01-09-pt1-PgH76-126,"['recommit desk', 'motion', 'recommit']"
CREC-2023-01-09-pt1-PgH76-135,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-09-pt1-PgH94-4-7,"['present', '24', 'yea', 'voted', 'rollcall']"
CREC-2023-01-09-pt1-PgH94-4-10,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-09-pt1-PgH94-4-16,"['25', 'present', 'voted', 'rollcall', 'nay']"
CREC-2023-01-10-pt1-PgE13-2-2,"['council', 'eliminating', 'review', 'appropriations', 'delaying']"
CREC-2023-01-10-pt1-PgE7-3-2,"['agency water infrastructure', 'clean public financing', 'california state water', 'clean watersheds needs', 'investment wastewater treatment']"
CREC-2023-01-11-pt1-PgE20-2,"['legislation help', 'increases affordable', 'consolidated appropriations act', 'housing funding percent', 'children medicaid']"
CREC-2023-01-11-pt1-PgH165-5-1,"['violence healthcare', 'short condemning violence', 'abortion federation report', 'pro choice caucus', 'clinics provide abortion']"
CREC-2023-01-11-pt1-PgH168-4-1,"['yes threat human', 'concern attacks', 'assaulting patients', 'vandalism destruction', 'providing abortions']"
CREC-2023-01-11-pt1-PgH168-1,"['intimidation individuals need', 'pro abortion', 'condemn attacks', 'violence extremists rule', 'abortion activists day']"
CREC-2023-01-11-pt1-PgH178-0,"['immediate', 'resolution', 'health', 'degree', 'prohibit']"
CREC-2023-01-11-pt1-PgH178-9,"['days', 'unanimous']"
CREC-2023-01-11-pt1-PgH178-12,"['cavalier', 'debate', 'protected', 'newborns', 'roe']"
CREC-2023-01-11-pt1-PgH178-13,"['amendments', 'judgment', 'protections', 'bipartisan', 'infant']"
CREC-2023-01-11-pt1-PgH178-14,"['minutes', 'sponsor', 'gentlewoman', 'missouri', 'bipartisan']"
CREC-2023-01-11-pt1-PgH178-15,"['bipartisan', 'compassion', 'lifesaving', 'legislation', 'newborns']"
CREC-2023-01-11-pt1-PgH178-16,"['york', 'yield', 'mr', 'minority', 'jeffries']"
CREC-2023-01-11-pt1-PgH178-17,"['ensuring', 'yielding', 'criminalize', 'republican', 'maga']"
CREC-2023-01-11-pt1-PgH178-18,"['governor', 'roe']"
CREC-2023-01-11-pt1-PgH178-19,"['pro', 'biohazard', 'judiciary', 'lifesaving', 'infant']"
CREC-2023-01-11-pt1-PgH178-21,"['yield', 'member', 'pennsylvania', 'gentlewoman', 'judiciary']"
CREC-2023-01-11-pt1-PgH178-22,"['healthcare', 'fatal', 'outlawing', 'parole', 'infants']"
CREC-2023-01-11-pt1-PgH178-23,"['mr', 'yield', 'wisconsin', 'orden', 'minute']"
CREC-2023-01-11-pt1-PgH178-24,"['care', 'democratic', 'dignity', 'prosecution', 'navy']"
CREC-2023-01-11-pt1-PgH178-25,"['yield', 'member', 'gentlewoman', 'pennsylvania', 'judiciary']"
CREC-2023-01-11-pt1-PgH178-26,"['passed', 'complications', 'criminalize', 'legislate', 'pregnancies']"
CREC-2023-01-11-pt1-PgH178-27,"['friend', 'yield', 'minute', 'burchett', 'tennessee']"
CREC-2023-01-11-pt1-PgH178-28,"['important', 'denying', 'ann', 'grandmama', 'constitution']"
CREC-2023-01-11-pt1-PgH178-29,"['ranking', 'yield', 'delauro', 'appropriations', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-30,"['risk', 'ban', 'republicans', 'reproductive', 'hypotheticals']"
CREC-2023-01-11-pt1-PgH178-31,"['yield', 'mr', 'bilirakis', 'florida', 'minute']"
CREC-2023-01-11-pt1-PgH178-32,"['thank', 'act', 'protection', 'gestational', 'chairman']"
CREC-2023-01-11-pt1-PgH178-33,"['yield', 'texas', 'gentlewoman', 'minutes', 'judiciary']"
CREC-2023-01-11-pt1-PgH178-34,"['bipartisan', 'prosecute', 'newborn', 'survival', 'condemnation']"
CREC-2023-01-11-pt1-PgH178-35,"['meeks', 'yield', 'iowa', 'gentlewoman', 'minutes']"
CREC-2023-01-11-pt1-PgH178-36,"['circumstance', 'support', 'constitution', 'adoption', 'newborns']"
CREC-2023-01-11-pt1-PgH178-37,"['yield', 'ms', 'florida', 'minute', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-38,"['reject', 'grandchildren', 'lifesaving', 'nationwide', 'criminalize']"
CREC-2023-01-11-pt1-PgH178-39,"['mr', 'yield', 'louisiana', 'scalise', 'minute']"
CREC-2023-01-11-pt1-PgH178-40,"['petition', 'liberty', 'congress', 'inhumane', 'womb']"
CREC-2023-01-11-pt1-PgH178-41,"['hospital', 'illegal', 'protections', 'bipartisan', 'infant']"
CREC-2023-01-11-pt1-PgH178-42,"['criminalize', 'extremist', 'patients', 'reproductive', 'congress']"
CREC-2023-01-11-pt1-PgH178-43,"['balance time', 'reserve', 'time']"
CREC-2023-01-11-pt1-PgH178-44,"['yield', 'texas', 'gentlewoman', 'minute', 'fletcher']"
CREC-2023-01-11-pt1-PgH178-45,"['miscarriages', 'hospitals', 'criminalizing', 'care', 'oppose']"
CREC-2023-01-11-pt1-PgH178-46,"['balance time', 'reserve', 'time']"
CREC-2023-01-11-pt1-PgH178-47,"['yield', 'ms', 'california', 'chu', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-48,"['instead', 'federal', 'newborns', 'restrictions', 'bipartisan']"
CREC-2023-01-11-pt1-PgH178-49,"['yield', 'mr', 'aderholt', 'alabama', 'minute']"
CREC-2023-01-11-pt1-PgH178-50,"['commonsense', 'ensures', 'lifesaving', 'infanticide', 'bipartisan']"
CREC-2023-01-11-pt1-PgH178-51,"['yield', 'ms', 'illinois', 'gentlewoman', 'schakowsky']"
CREC-2023-01-11-pt1-PgH178-52,"['republican', 'infant']"
CREC-2023-01-11-pt1-PgH178-53,"['yield', 'indiana', 'minutes', 'gentlewoman', 'houchin']"
CREC-2023-01-11-pt1-PgH178-54,"['defending', 'democrats', 'constitutional', 'lifesaving', 'infant']"
CREC-2023-01-11-pt1-PgH178-55,"['new', 'yield', 'york', 'minute', 'goldman']"
CREC-2023-01-11-pt1-PgH178-56,"['importance', 'women', 'deny', 'preserving', 'vaccinated']"
CREC-2023-01-11-pt1-PgH178-57,"['yield', 'cause', 'longtime', 'mr', 'jersey']"
CREC-2023-01-11-pt1-PgH178-58,"['irs', 'incentives', 'born', 'biohazard', 'umbilical']"
CREC-2023-01-11-pt1-PgH178-59,"['yield', 'distinguished', 'york', 'espaillat', 'minute']"
CREC-2023-01-11-pt1-PgH178-60,"['access', '26', 'reproductive', 'safety', 'oppose']"
CREC-2023-01-11-pt1-PgH178-61,"['friend', 'yield', 'mr', 'virginia', 'minute']"
CREC-2023-01-11-pt1-PgH178-62,"['unanimously', 'virginia', 'protect', 'debate', 'pregnancy']"
CREC-2023-01-11-pt1-PgH178-63,"['yield', 'ms', 'kamlager', 'california', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-64,"['silencing', 'uteruses', '2023', 'freedoms', 'republican']"
CREC-2023-01-11-pt1-PgH178-65,"['yield', 'mr', 'johnson', 'minutes', 'louisiana']"
CREC-2023-01-11-pt1-PgH178-66,"['protection', 'republicans', 'barbaric', 'lifenews', 'infant']"
CREC-2023-01-11-pt1-PgH178-67,"['yield', 'scholten', 'michigan', 'minute', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-68,"['federal', 'jeremiah', 'policy', 'faith', 'miscarriage']"
CREC-2023-01-11-pt1-PgH178-69,"['yield', 'miller', 'minutes', 'virginia', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-70,"['democrat', 'upholds', 'baby', 'survivors', 'prosecuted']"
CREC-2023-01-11-pt1-PgH178-71,"['balance time', 'reserve', 'time']"
CREC-2023-01-11-pt1-PgH178-72,"['yield', 'carolina', 'foxx', 'minute', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-73,"['yielding', 'criticize', 'masks', 'aisle']"
CREC-2023-01-11-pt1-PgH178-74,"['yield', 'ms', 'minutes', 'colorado', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-75,"['protect', 'caucus', 'healthcare', 'overwhelmingly', 'abortion']"
CREC-2023-01-11-pt1-PgH178-77,"['yield gentlewoman', 'additional minute', 'yield']"
CREC-2023-01-11-pt1-PgH178-78,"['recommit', 'doctors', 'exactly', 'unanimous']"
CREC-2023-01-11-pt1-PgH178-81,"['yield', 'mr', 'cline', 'minutes', 'virginia']"
CREC-2023-01-11-pt1-PgH178-82,"['gentlewoman', 'prevent', 'partisan', 'virginia', 'womb']"
CREC-2023-01-11-pt1-PgH178-83,"['opposes', 'protect', 'hospital', 'judgment', 'infant']"
CREC-2023-01-11-pt1-PgH178-84,['experiment']
CREC-2023-01-11-pt1-PgH178-86,"['recommit desk', 'motion', 'recommit']"
CREC-2023-01-11-pt1-PgH178-101,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-11-pt1-PgH190-4-8,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-12-pt1-PgE24-2-2,"['protect', 'demonization', 'reproductive', 'democrats', 'contraception']"
CREC-2023-01-17-pt1-PgE31-3-3,"['attorney office congress', 'congress let enforce', 'passed district columbia', 'prosecute crimes residents', 'prosecutor home rule']"
CREC-2023-01-17-pt1-PgE34-2-2,"['federal', 'estate', 'sec', 'oversight', 'leases']"
CREC-2023-01-24-pt1-PgE44-2-1,"['oil china house', 'exports crude oil', 'sanctions republicans really', 'country sanctions republicans', 'oil china increased']"
CREC-2023-01-24-pt1-PgE49-2,"['district', 'senators', 'columbia', 'appeals', 'constitution']"
CREC-2023-01-24-pt1-PgH258-10-0,"['replace', 'degree', 'suspend']"
CREC-2023-01-24-pt1-PgH258-10-15,"['extraneous', 'measure', 'days', 'consent']"
CREC-2023-01-24-pt1-PgH258-10-18,"['hire', 'assessments', 'proficiency', 'federal', 'candidates']"
CREC-2023-01-24-pt1-PgH258-10-19,"['federal', 'hire', 'compete', 'assessments', 'bipartisan']"
CREC-2023-01-24-pt1-PgH258-10-20,"['yield', 'minutes', 'carolina', 'foxx', 'gentlewoman']"
CREC-2023-01-24-pt1-PgH258-10-21,"['agencies', 'efficiency', 'compete', 'taxpaying', 'bipartisan']"
CREC-2023-01-24-pt1-PgH258-10-22,"['auspicious', 'passage', 'yield', 'chairman', 'closing']"
CREC-2023-01-24-pt1-PgH258-10-23,"['mr', 'commonsense', 'federal']"
CREC-2023-01-24-pt1-PgH258-10-24,"['roles', 'civil', 'certificate', 'compete', 'degree']"
CREC-2023-01-24-pt1-PgH258-10-25,"['bipartisan', 'internships', 'federal', 'compete', 'assessments']"
CREC-2023-01-24-pt1-PgH258-10-29,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-24-pt1-PgH262-0,"['suspend', 'settlement']"
CREC-2023-01-24-pt1-PgH262-11,"['extraneous', 'measure', 'days', 'consent']"
CREC-2023-01-24-pt1-PgH262-14,"['payments', 'information', 'publicize', 'federal', 'settlements']"
CREC-2023-01-24-pt1-PgH262-15,"['provide', 'bipartisan', 'violations', 'agency', 'transparency']"
CREC-2023-01-24-pt1-PgH262-16,"['yield', 'mr', 'alabama', 'minutes', 'palmer']"
CREC-2023-01-24-pt1-PgH262-17,"['informing', 'transparency', 'negotiations', 'settlements', 'federal']"
CREC-2023-01-24-pt1-PgH262-18,"['yield', 'texas', 'ms', 'minute', 'gentlewoman']"
CREC-2023-01-24-pt1-PgH262-19,"['2023', 'reduction', 'gerry', 'information', 'agencies']"
CREC-2023-01-24-pt1-PgH262-21,"['additional', 'yield', 'texas', 'minute', 'gentlewoman']"
CREC-2023-01-24-pt1-PgH262-22,"['oversight', 'informed', 'federal', 'transparency', 'settlements']"
CREC-2023-01-24-pt1-PgH262-23,"['balance time', 'reserve', 'time']"
CREC-2023-01-24-pt1-PgH262-24,"['litigants', 'madison', 'transparency', 'chairman']"
CREC-2023-01-24-pt1-PgH262-25,"['today', 'database', 'bipartisan', 'settlement']"
CREC-2023-01-24-pt1-PgH262-26,"['oversight', 'documents', 'bipartisan', 'publicly', 'settlement']"
CREC-2023-01-24-pt1-PgH262-30,"['yeas nays', 'yeas', 'demand']"
CREC-2023-01-24-pt1-PgH266-7,"['unable', 'yea', 'rollcall', 'regret', 'legislative']"
CREC-2023-01-25-pt1-PgH293-5-0,"['2018', 'consolidating', 'damage', 'suspend', 'assessments']"
CREC-2023-01-25-pt1-PgH293-5-9,"['extraneous', 'days', 'revise', 'consent']"
CREC-2023-01-25-pt1-PgH293-5-12,"['consolidate', 'puerto', 'recovery', 'assessments', 'federal']"
CREC-2023-01-25-pt1-PgH293-5-13,"['federal', 'consolidate', 'assessments', 'recovery', 'disasters']"
CREC-2023-01-25-pt1-PgH293-5-14,"['yield', 'consume', 'time', 'gentlewoman', 'puerto']"
CREC-2023-01-25-pt1-PgH293-5-15,"['department', 'efforts', 'recovery', 'taxpayer', 'hurricanes']"
